vel,angs,logCountM,distDif,clickD,clickTotalM,backSpaceM,leftSideM,rigthSideM,stressLevelM
1768.5913504344903,33.754427513008466,422,858.6779214868111,19705.0,3,0,0,0,2
2111.446145109239,30.625792555440064,441,1488.6641383296603,19695.0,3,0,0,0,3
1410.1546502469653,31.546801085046607,325,875.6082395367121,12953.0,4,0,0,0,3
1487.6154754575991,28.488154011447843,296,1217.8168817463904,9752.0,3,0,0,0,3
2827.31482364039,28.29987397194636,416,1778.3890608883582,44679.0,4,0,0,0,2
1198.8382306744436,22.333825544340485,218,888.8680457503408,49239.0,3,0,0,0,3
2155.4894330917937,26.5027201749096,490,1862.627644700136,19678.0,3,0,0,0,2
1343.7036115355302,25.79154645245455,374,877.6501280756343,16609.0,2,0,0,0,2
3735.709224813508,28.296411222132157,626,3192.008743022178,87752.0,5,0,1,0,2
1453.3478807645135,30.34594184492572,386,1027.7787273631195,55932.0,3,0,0,0,2
1031.9194696903162,30.913872129687363,189,223.4972886378549,26825.0,2,0,0,0,2
1078.4707950556306,34.029154468500614,228,787.0807964986144,34368.0,4,0,0,0,2
3735.709224813508,28.296411222132157,626,3192.008743022178,87752.0,5,0,1,0,2
1453.3478807645135,30.34594184492572,386,1027.7787273631195,55932.0,3,0,0,0,2
1031.9194696903162,30.913872129687363,189,223.4972886378549,26825.0,2,0,0,0,2
1078.4707950556306,34.029154468500614,228,787.0807964986144,34368.0,4,0,0,0,2
3735.709224813508,28.296411222132157,626,3192.008743022178,87752.0,5,0,1,0,2
1453.3478807645135,30.34594184492572,386,1027.7787273631195,55932.0,3,0,0,0,2
1031.9194696903162,30.913872129687363,189,223.4972886378549,26825.0,2,0,0,0,2
1078.4707950556306,34.029154468500614,228,787.0807964986144,34368.0,4,0,0,0,2
951.0107652713862,20.9220215509716,192,293.2206767751717,43295.0,4,0,0,0,3
720.2761024335217,21.33042061613397,130,371.7065518781571,34256.0,3,0,0,0,3
366.6049137348484,25.350930454974822,84,32.30552464266066,18495.0,3,0,0,0,2
452.858696583808,21.594036353499728,184,291.7736041650168,12407.0,3,0,0,0,3
775.2981580052109,21.60665407085352,276,360.5382444918142,30978.0,3,0,0,0,3
251.4059241434108,21.833440533630693,71,78.34643133480836,10313.0,4,0,0,0,3
312.5759894150328,21.10119070304372,132,30.950322065934643,21455.0,2,0,0,0,3
520.1105840753975,24.24247333006488,216,112.36911685112705,14874.0,3,0,0,0,3
5548.729952435945,26.0370399496415,294,4846.301908670838,120527.0,4,0,1,0,3
337.1049778711494,25.31002065506089,125,244.25721603559123,49873.0,3,0,0,0,3
396.95151357213774,26.880873296694865,168,139.76997669305,47772.0,3,0,1,0,3
541.9435373961973,23.71651441158746,87,426.7083762016914,20467.0,3,0,0,0,3
2224.1623887051514,24.85742969595817,255,1133.4045848701091,58319.0,4,0,0,0,2
567.7305287726928,26.08443573115689,46,0.5663928831205993,12608.0,1,0,0,0,2
2745.10608560322,24.60036338938567,425,2071.2680265834824,110698.0,3,0,0,0,2
892.3207484149538,26.277825607681223,158,980.0998431987152,47243.0,2,0,0,0,2
1890.401906108999,30.88297904749162,248,351.9541819148261,24664.0,4,0,0,0,2
686.5095443726924,19.34469543782691,176,281.41639902490016,23165.0,2,0,0,0,2
1200.3577855429023,28.77059843013079,257,1357.6551980598877,22756.0,3,0,0,0,2
655.3531941038008,31.098964494411327,159,97.61350019995632,24868.0,3,0,0,0,2
4779.618679356354,30.69192583940158,861,3102.003922100793,31282.0,5,0,0,0,3
2804.4779901758347,39.11353278585988,547,2402.3955839743976,34634.0,4,0,0,0,2
3246.5568400158118,36.92690258151202,450,2781.456641558785,16191.0,3,0,0,0,2
5792.740963896331,35.676444292123854,939,5016.659811703411,67166.0,4,0,0,0,2
4777.6831744586,30.69192583940158,856,3100.6542036406654,31282.0,5,0,0,0,3
2804.2998445909616,39.11353278585988,544,2383.8803775900374,34634.0,4,0,0,0,2
3245.516496920491,36.92690258151202,447,2781.394026566574,16191.0,3,0,0,0,2
5789.147048428495,35.676444292123854,934,5013.882323945752,67166.0,4,0,0,0,2
4779.618679356354,30.69192583940158,861,3102.003922100793,31282.0,5,0,0,0,3
