vel,angs,logCountM,distDif,clickD,clickTotalM,backSpaceM,leftSideM,rigthSideM,stressLevelM
1155.8371190856053,36.113307850522204,253,313.5962281830941,82273.0,8,10,189,144,2
5234.393433010442,20.65340765029192,676,3586.697352276228,189948.0,17,20,82,108,3
8295.126805906828,27.468331375475604,784,5376.66803545282,294141.0,15,89,157,236,2
8295.126805906828,27.468331375475604,784,5376.66803545282,294141.0,15,89,157,236,2
8295.126805906828,27.468331375475604,784,5376.66803545282,294141.0,15,89,157,236,2
10478.99734660605,21.379599654077484,767,8606.743697433967,276247.0,12,102,146,262,3
4222.6619514259,21.196842790797756,424,2689.21665248424,114806.0,8,34,134,151,3
5326.0478469848085,24.33430918993897,696,1186.7959800514363,176811.0,24,19,74,97,3
2182.6825507252,25.103499959643848,490,769.8709987884181,207141.0,10,42,155,195,2
12847.864660808087,32.057590457940684,1140,9807.923504744937,305168.0,24,137,251,363,2
8434.76163241409,39.19815172752946,1340,2351.3829027443608,180743.0,32,62,101,174,2
8413.747526589614,39.19815172752946,1308,2789.3680826932014,180743.0,30,62,101,174,2
8434.76163241409,39.19815172752946,1340,2351.3829027443608,180743.0,32,62,101,174,2
2228.446153331109,28.61484263175792,197,135.6737779437865,284926.0,10,84,199,247,2
5707.693724260892,25.147301106551215,754,3078.374833742085,169920.0,17,81,193,266,2
8193.652119112117,32.56895819520448,1292,5526.236768977678,350689.0,19,161,240,409,2
7609.455232118387,23.865827014556743,1251,4409.483542526794,216416.0,19,26,146,148,2
4352.396148163567,60.05940946122706,650,2287.6596116578485,132826.0,12,45,175,217,2
7463.605612192206,43.20477496518456,74,35.58010333246693,357191.0,37,108,0,108,2
6903.171204015925,59.14711349792308,311,1995.2157071994616,304014.0,9,55,153,198,2
8250.978253976395,32.385942453029,891,6185.63750267246,268943.0,16,87,268,354,3
11391.72666682725,27.37365468304311,975,9117.251259621626,223617.0,12,37,154,191,3
23937.77189345582,29.25647023648455,3746,11686.604655502888,706363.0,75,11,475,426,2
13964.38934587186,25.45482656190288,1590,9038.984875818303,410844.0,22,72,178,256,3
13141.288848921478,33.073026348214924,1343,10786.083691591906,289958.0,14,61,134,202,2
6746.664550877799,27.316976765232027,1375,4909.627876720399,141857.0,17,28,77,87,2
6746.664550877799,27.316976765232027,1375,4909.627876720399,141857.0,17,28,77,87,2
5748.546450262876,26.54122494445125,775,3508.747636010044,231852.0,14,33,139,175,3
20665.936354028057,34.11660564152292,2295,17392.96896289595,477805.0,17,15,64,83,2
9090.749765220264,17.893135582831345,1104,6222.86716705564,138423.0,16,22,115,128,3
5565.996157718686,27.15608960059916,891,1970.959004003796,332933.0,24,58,200,255,2
4446.102706189897,29.09442878851455,605,1999.8834840848624,247306.0,16,42,156,198,2
6491.268796136224,35.66127127953862,808,3781.9801164575433,215050.0,17,168,253,409,3
4112.437405926963,28.9253462938058,393,172.95599324704563,262062.0,20,32,86,113,2
11000.914388343395,31.66093019720337,845,6497.288571494508,219551.0,25,21,217,166,3
11000.914388343395,31.66093019720337,845,6497.288571494508,219551.0,25,21,217,166,3
4554.887788823674,29.922835073010948,570,2289.2859943359963,216226.0,13,40,172,199,2
9625.563090164622,13.483863779825882,1279,6005.9134528309005,119585.0,17,46,137,169,3
16047.572372511268,25.94544764014498,1288,14150.855707937262,564970.0,10,210,217,439,3
6710.019054140276,40.350269838286806,1619,3250.090225121809,216727.0,20,16,157,162,2
4183.491206046535,40.314326353066384,571,2853.3871607591777,220217.0,16,163,227,389,1
13800.085487123451,26.52477670652026,1308,10366.8112974201,208331.0,17,34,83,106,3
6625.673656137852,28.3043508526408,1029,4011.970762028588,275356.0,18,32,209,185,2
3549.7705717865065,17.986098498714863,345,2135.907040572045,174301.0,11,98,192,307,3
2656.8245819008803,16.97360535887103,422,1400.740036611016,88449.0,10,47,131,194,2
2656.8245819008803,16.97360535887103,422,1400.740036611016,88449.0,10,47,131,194,2
13466.601844590028,30.768456754932007,1657,9008.967047166008,275803.0,26,66,157,221,2
11699.2428721722,34.33212484381472,1122,8091.319984077495,282243.0,22,89,161,255,2
11699.2428721722,34.33212484381472,1122,8091.319984077495,282243.0,22,89,161,255,2
10435.151917255627,33.56596342497233,1606,5068.394129516326,473243.0,19,64,103,194,2
3589.533967909333,24.77171730889204,684,921.2804741279432,116741.0,15,27,156,167,3
4479.567310948752,30.163936817507903,603,1428.5139901678865,125863.0,14,36,118,153,2
2443.70854614951,32.873541698688065,415,253.44269447625493,117112.0,14,52,194,235,2
4178.940022458093,32.4883349345044,753,360.68816238515046,262607.0,22,94,192,269,3
5222.854709888581,24.67082143797892,835,3578.245611263863,325129.0,17,55,187,217,3
11518.89175481456,23.914975592349837,1298,6663.099341732109,356283.0,23,42,147,189,3
17723.48789229569,23.57019631920109,2031,12781.557411358584,419128.0,26,108,238,324,3
5202.951361117031,35.83293870776548,736,3164.498244211244,227901.0,12,150,326,369,2
4565.66077031649,25.967832379529167,450,3240.7790802609125,208985.0,10,10,183,168,3
4565.66077031649,25.967832379529167,450,3240.7790802609125,208985.0,10,10,183,168,3
9224.571698201671,30.87581767917592,986,6217.175376293946,276626.0,22,26,175,178,2
1783.4570516550275,26.886295589499632,322,37.22823551066608,110355.0,13,24,148,159,2
3301.9564576174084,24.374864260234403,470,1557.2279991645175,164096.0,14,25,104,109,2
9225.428137188155,37.17759070239586,1217,3961.51763817972,215989.0,33,62,127,225,1
5826.148781357908,27.239886667447323,574,3393.5579804147137,84714.0,25,21,79,66,3
2878.025593942285,30.82626419415409,441,196.95211749222565,158444.0,14,79,142,234,2
5289.100497010853,33.95038845774751,460,2427.041256517127,114602.0,15,5,137,133,2
6383.159605373103,37.33112299614288,703,3647.739721707971,117143.0,13,92,118,256,3
1613.3115843884905,32.85301040142324,269,580.5404876176756,126686.0,8,15,163,124,2
4864.485323159715,30.79454239186497,579,3497.9682559691737,184295.0,9,41,157,205,2
3746.875690385075,30.32319236828154,372,1313.3893997832588,161169.0,13,100,199,282,3
8794.21264387408,55.62479139603575,2371,4033.2092988584673,213989.0,21,17,111,102,2
7026.965395064733,34.61310957604228,1064,5677.212552412973,425310.0,12,104,188,287,3
7157.983678241405,53.62253281669751,857,3680.341525254633,197090.0,23,26,143,158,1
5378.462437229628,36.58937608357383,717,2859.5470017132457,158782.0,16,14,162,154,3
4489.44765703972,26.16415225168448,581,1938.5308805409431,134264.0,13,61,164,233,3
13120.1839935387,24.712684486361503,1358,8980.292230216039,479815.0,17,83,208,289,3
12213.96494355434,21.710088521182037,2388,8379.79244377425,118751.0,21,30,132,195,2
5539.465296855736,25.99133041564928,657,3383.888485447481,179030.0,13,16,97,129,3
18528.06771509863,21.05619013547245,3475,14473.873362987088,505819.0,28,13,105,116,3
8264.581948950869,27.787679359872428,2104,6045.993691560202,275937.0,14,42,162,209,3
16239.536705404877,18.53058533320854,1090,12283.45439366432,270933.0,19,61,88,157,2
3924.279804568585,32.31717037984241,605,300.7133464535368,123826.0,13,4,87,84,3
4796.434455934356,24.05948741600008,618,2390.6664406072387,128356.0,11,8,71,84,3
19686.640848581854,27.68244417621888,1702,14149.222233106557,205135.0,26,17,143,141,3
3745.937750744633,25.773089993063486,646,450.4488840712279,153343.0,19,25,185,192,3
15072.883718393005,26.896006262937384,1792,9048.828379208602,601443.0,31,30,87,102,3
4507.571168383034,23.66640532586987,788,2066.149528615282,142978.0,14,4,131,118,3
2085.1409201986603,34.46627731492134,271,480.24717042456905,95642.0,10,14,180,176,2
18935.37843775349,263.3747088568618,2303,15391.636696843612,354527.0,20,30,11,44,2
16673.40585480501,64.54525881183608,2584,9605.701060291747,448962.0,22,101,115,256,3
6787.747169429389,70.39241600246912,810,4773.829084940229,163058.0,12,23,63,85,3
21481.49637378834,67.6195822148831,2090,14888.64351193652,708642.0,30,93,115,215,2
13060.884366415245,32.744439612769355,1393,8817.71567945702,357839.0,24,74,158,235,3
10317.300226289804,31.05654307732212,1397,5868.563724122321,417599.0,17,21,279,276,3
2476.414349514796,27.41108527047612,351,1439.536547324098,137959.0,10,71,80,208,2
43790.43206339784,33.715891252233654,2634,38094.53117900495,2250851.0,30,70,162,268,2
